Date,GDP
2014-01-30,1.5
2014-05-29,1.4
2014-08-28,1.9
2014-11-27,0.7
2015-01-29,2.5
2015-05-28,0.4
2015-08-27,2.0
2015-11-26,1.4
2016-01-28,2.1
2016-05-19,1.3
2016-08-18,1.8
2016-11-17,1.2
2017-01-26,1.8
2017-05-18,1.3
2017-08-17,2.0
2017-11-16,1.7
2018-01-23,1.5
2018-05-10,1.5
2018-08-09,1.5
2018-11-08,1.4
2019-01-24,1.5
2019-05-09,1.0
2019-08-08,1.4
2019-11-07,1.6
2020-01-23,2.2
2020-05-07,-5.1
2020-08-06,-15.2
2020-11-10,8.0
2021-01-28,3.8
2021-05-11,0.3
2021-08-10,-1.3
2021-11-09,3.1
2022-01-27,3.5
2022-05-12,1.9
2022-08-09,-0.1
2022-11-10,3.3
2023-01-26,2.0
2023-05-11,1.1
