Date,Inflation,GDP
2014-01-01,4.1,1.5
2014-02-01,4.2,1.5
2014-03-01,4.1,1.5
2014-04-04,3.9,1.5
2014-05-06,4.1,1.4
2014-06-05,4.5,1.4
2014-07-04,4.4,1.4
2014-08-05,4.9,1.9
2014-09-05,4.9,1.9
2014-10-08,4.4,1.9
2014-11-05,4.3,0.7
2014-12-05,3.7,0.7
2015-01-06,2.7,2.5
2015-02-05,2.4,2.5
2015-03-05,2.5,2.5
2015-04-07,2.4,2.5
2015-05-05,2.2,0.4
2015-06-05,1.6,0.4
2015-07-07,1.2,0.4
2015-08-05,0.8,2.0
2015-09-04,0.6,2.0
2015-10-06,0.4,2.0
2015-11-05,0.4,1.4
2015-12-04,1.1,1.4
2016-01-05,1.5,2.1
2016-02-05,1.3,2.1
2016-03-04,0.9,2.1
2016-04-05,1.1,2.1
2016-05-05,1.1,1.3
2016-06-07,1.6,1.3
2016-07-05,1.9,1.3
2016-08-05,1.9,1.8
2016-09-06,1.8,1.8
2016-10-05,2.3,1.8
2016-11-04,2.3,1.2
2016-12-06,2.5,1.2
2017-01-05,2.6,1.8
2017-02-07,2.7,1.8
2017-03-07,3.3,1.8
2017-04-05,3.4,1.8
2017-05-05,3.4,1.3
2017-06-06,3.1,1.3
2017-07-05,2.7,1.3
2017-08-04,2.8,2.0
2017-09-05,3.1,2.0
2017-10-05,3.4,2.0
2017-11-07,3.5,1.7
2017-12-05,3.3,1.7
2018-01-05,3.3,1.5
2018-02-06,4.0,1.5
2018-03-06,3.8,1.5
2018-04-05,4.3,1.5
2018-05-04,4.5,1.5
2018-06-05,4.6,1.5
2018-07-05,5.2,1.5
2018-08-07,5.7,1.5
2018-09-05,6.4,1.5
2018-10-05,6.7,1.5
2018-11-06,6.7,1.4
2018-12-05,6.0,1.4
2019-01-04,5.1,1.5
2019-02-05,4.4,1.5
2019-03-05,3.8,1.5
2019-04-05,3.3,1.5
2019-05-07,3.0,1.0
2019-06-05,3.2,1.0
2019-07-05,2.7,1.0
2019-08-06,2.4,1.4
2019-09-05,1.7,1.4
2019-10-04,0.9,1.4
2019-11-05,0.8,1.6
2019-12-05,1.3,1.6
2020-01-07,2.5,2.2
2020-02-05,2.9,2.2
2020-03-05,2.6,2.2
2020-04-07,2.5,2.2
2020-05-05,2.2,-5.1
2020-06-05,2.1,-5.1
2020-07-07,2.5,-5.1
2020-08-05,2.7,-15.2
2020-09-04,2.4,-15.2
2020-10-06,2.3,-15.2
2020-11-05,2.5,8.0
2020-12-04,3.3,8.0
2021-01-05,3.5,3.8
2021-02-05,4.2,3.8
2021-03-05,4.7,3.8
2021-04-06,4.5,3.8
2021-05-05,4.5,0.3
2021-06-04,4.5,0.3
2021-07-06,4.1,0.3
2021-08-05,4.0,-1.3
2021-09-07,4.9,-1.3
2021-10-05,4.8,-1.3
2021-11-05,4.6,3.1
2021-12-07,4.2,3.1
2022-01-05,3.2,3.5
2022-02-04,3.0,3.5
2022-03-04,3.0,3.5
2022-04-05,4.0,3.5
2022-05-05,4.9,1.9
2022-06-07,5.4,1.9
2022-07-05,6.1,1.9
2022-08-05,6.4,-0.1
2022-09-06,6.3,-0.1
2022-10-05,6.9,-0.1
2022-11-04,7.7,3.3
2022-12-06,8.0,3.3
2023-01-05,8.1,2.0
2023-02-07,8.7,2.0
2023-03-07,8.6,2.0
2023-04-05,7.6,2.0
2023-05-05,6.6,1.1
